season,total_votes,n_lines,n_directions,n_words,n_speak_char,andy,angela,creed,darryl,david,dwight,erin,gabe,holly,jan,jim,karen,kelly,kevin,meredith,michael,nellie,oscar,pam,phyllis,robert,ryan,stanley,toby,andy_perc,angela_perc,creed_perc,darryl_perc,david_perc,dwight_perc,erin_perc,gabe_perc,holly_perc,jan_perc,jim_perc,karen_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,nellie_perc,oscar_perc,pam_perc,phyllis_perc,robert_perc,ryan_perc,stanley_perc,toby_perc,michael_dummy,dwight_dummy,jim_dummy,pam_dummy,andy_dummy,angela_dummy,kevin_dummy,erin_dummy,oscar_dummy,ryan_dummy,darryl_dummy,phyllis_dummy,kelly_dummy,toby_dummy,jan_dummy,stanley_dummy,meredith_dummy,holly_dummy,nellie_dummy,gabe_dummy,robert_dummy,creed_dummy,david_dummy,karen_dummy,Paul_Lieberstein_dummy_writer,Lee_Eisenberg_dummy_writer,Michael_Schur_dummy_writer,Jennifer_Celotta_dummy_writer,B.J._Novak_dummy_writer,Justin_Spitzer_dummy_writer,Aaron_Shure_dummy_writer,Charlie_Grandy_dummy_writer,Greg_Daniels_dummy_writer,Brent_Forrester_dummy_writer,Gene_Stupnitsky_dummy_writer,Mindy_Kaling_dummy_writer,Halsted_Sullivan_dummy_writer,Warren_Lieberstein_dummy_writer,Daniel_Chun_dummy_writer,Allison_Silverman_dummy_writer,Owen_Ellickson_dummy_writer,Carrie_Kemper_dummy_writer,Steve_Hely_dummy_writer,Robert_Padnick_dummy_writer,low_appearance_writer,Ken_Kwapis_dummy_director,David_Rogers_dummy_director,Randall_Einhorn_dummy_director,Paul_Lieberstein_dummy_director,Harold_Ramis_dummy_director,Charles_McDougall_dummy_director,Ken_Whittingham_dummy_director,Jennifer_Celotta_dummy_director,B.J._Novak_dummy_director,Troy_Miller_dummy_director,Greg_Daniels_dummy_director,Brent_Forrester_dummy_director,Jeffrey_Blitz_dummy_director,Tucker_Gates_dummy_director,Matt_Sohn_dummy_director,Steve_Carell_dummy_director,Paul_Feig_dummy_director,John_Krasinski_dummy_director,Rainn_Wilson_dummy_director,low_appearance_directors,multi_part_dummy
0.25,0.18677281077770977,0.09090909090909088,0.04516129032258065,0.022900763358778553,0.26190476190476186,0.0,0.038461538461538464,0.29411764705882354,0.0,0.0,0.2168674698795181,0.0,0.0,0.0,0.0,0.05384615384615385,0.125,0.5294117647058824,0.1935483870967742,0.13636363636363635,0.2830188679245283,0.0,0.13793103448275862,0.20634920634920634,0.0,0.0,0.2777777777777778,0.047619047619047616,0.08108108108108109,0.0,0.028129395218002666,0.1740506329113915,0.0,0.0,0.1046089969129563,0.0,0.0,0.0,0.0,0.012950185207955083,0.04878691983122338,0.3253164556962026,0.10781318201658617,0.08515535097813537,0.13135896823501314,0.0,0.05527426160337526,0.10752796195834154,0.0,0.0,0.16297468354430347,0.026923849708659724,0.037632569278138725,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.125,0.16243110838946725,0.13429752066115702,0.1032258064516129,0.14700812607732083,0.09523809523809523,0.0,0.07692307692307693,0.23529411764705882,0.0,0.0,0.5421686746987951,0.0,0.0,0.0,0.0,0.2384615384615385,0.0,0.29411764705882354,0.12903225806451613,0.0,0.32704402515723274,0.0,0.10344827586206896,0.15079365079365079,0.14814814814814814,0.0,0.12962962962962962,0.23809523809523808,0.10810810810810811,0.0,0.09696969696969668,0.23999999999999927,0.0,0.0,0.4622720762767036,0.0,0.0,0.0,0.0,0.2107503698521737,0.0,0.3115151515151502,0.12388714733542293,0.0,0.26163522012578616,0.0,0.07145454545454542,0.13544011544011525,0.16872727272727228,0.0,0.1310909090909088,0.23203463203463123,0.08648648648648627,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.035517452541334954,0.3016528925619834,0.3548387096774193,0.18837724698350156,0.0714285714285714,0.0,0.21153846153846156,0.11764705882352941,0.3953488372093023,0.0,0.6626506024096386,0.46153846153846156,0.0,0.0,0.0,0.4153846153846154,0.0,0.0,0.4193548387096774,0.2272727272727273,0.0,0.26190476190476186,0.24137931034482757,0.25396825396825395,0.37037037037037035,0.0,0.0,0.23809523809523808,0.2972972972972973,0.0,0.140485312899106,0.0632183908045965,0.22901989865282404,0.0,0.28541971898997814,0.23084291187739428,0.0,0.0,0.0,0.18003167795018435,0.0,0.0,0.21211520676443343,0.1288749564611623,0.0,0.11891078270388618,0.08783524904214526,0.12017271787386717,0.22222222222222157,0.0,0.0,0.12224046706805235,0.12529771150460814,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.030006123698714027,0.34297520661157027,0.25806451612903225,0.2824427480916031,0.33333333333333337,0.1388888888888889,0.38461538461538464,0.1764705882352941,0.0,0.0,0.2409638554216868,0.13461538461538464,0.26666666666666666,0.0,0.0,0.15384615384615385,0.0,0.29411764705882354,0.29032258064516125,0.0,0.41509433962264153,0.0,0.1724137931034483,0.2222222222222222,0.037037037037037035,0.0,1.0,0.3333333333333333,0.0,0.07576633892423336,0.26990553306342735,0.10020242914979716,0.0,0.0,0.11049772548760761,0.07114541160593764,0.15708502024291435,0.0,0.0,0.061183297590513455,0.0,0.17341430499325164,0.15517241379310293,0.0,0.18485982736230988,0.0,0.06629554655870419,0.11111111111111102,0.02348178137651813,0.0,0.5629554655870442,0.18083670715249606,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.125,0.15890998162890388,0.23966942148760334,0.2838709677419355,0.20167446441763115,0.11904761904761907,0.0,0.23076923076923078,0.1764705882352941,0.0,0.0,0.3493975903614458,0.0,0.0,0.0,0.0,0.18461538461538463,0.0,0.11764705882352941,0.0967741935483871,0.0,0.5534591194968553,0.0,0.3103448275862069,0.19047619047619047,0.4444444444444444,0.0,0.07407407407407407,0.19047619047619047,0.5945945945945946,0.0,0.3065134099616853,0.1896551724137928,0.0,0.0,0.32181881957555997,0.0,0.0,0.0,0.0,0.17274922943893678,0.0,0.13128991060025466,0.0978993261989694,0.0,0.46651726547627653,0.0,0.22586206896551697,0.18025907681080086,0.5333333333333327,0.0,0.07892720306513364,0.19558474730888428,0.5011908460184326,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0007654623392529258,0.24586776859504128,0.38064516129032255,0.2612656981039153,0.2142857142857143,0.861111111111111,0.07692307692307693,0.0,0.06976744186046512,0.0,0.3373493975903615,0.5,0.0,0.0,0.1095890410958904,0.16923076923076924,0.0,0.0,0.1935483870967742,0.09090909090909091,0.0,0.16666666666666666,0.24137931034482757,0.2222222222222222,0.2222222222222222,0.0,0.0,0.047619047619047616,0.0,0.7893100097181732,0.09070294784580467,0.0,0.07175773535220498,0.0,0.27406489752450497,0.4440192743764169,0.0,0.0,0.07753238281613989,0.13693147247545406,0.0,0.0,0.1738212526389866,0.0915275200989477,0.0,0.13435374149659862,0.15595238095238095,0.18669690098261518,0.23673469387755086,0.0,0.0,0.04340783932620561,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.34323331292100434,0.4690082644628099,0.1096774193548387,0.29278502831814823,0.26190476190476186,0.0,0.09615384615384616,0.23529411764705882,0.18604651162790697,0.0,0.32530120481927716,0.0,0.0,0.0,0.547945205479452,0.36923076923076925,0.0,0.058823529411764705,0.5161290322580645,0.045454545454545456,0.5911949685534591,0.0,0.13793103448275862,0.3492063492063492,0.25925925925925924,0.0,0.018518518518518517,0.047619047619047616,0.10810810810810811,0.0,0.118623962040332,0.2348754448398567,0.20020663528871532,0.0,0.2780732813018868,0.0,0.0,0.0,0.40559645103105363,0.3205751593611994,0.0,0.06097271648872963,0.4849674806724753,0.04788094467809685,0.4628572707535977,0.0,0.09323843416370073,0.30695362367960227,0.2889679715302486,0.0,0.018327402135230986,0.04541603118115496,0.08463979994229075,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.875,0.009491733006736086,0.3181818181818182,0.15483870967741936,0.16055158827874905,0.4285714285714285,0.6805555555555555,0.38461538461538464,0.058823529411764705,0.3488372093023256,0.37777777777777777,0.27710843373493976,0.17307692307692307,0.06666666666666667,0.0,0.0,0.2076923076923077,0.0,0.23529411764705882,0.0967741935483871,0.09090909090909091,0.0,0.45238095238095233,0.3793103448275862,0.1746031746031746,0.18518518518518517,0.39473684210526316,0.0,0.047619047619047616,0.13513513513513514,0.7081081081081083,0.5148005148005147,0.0637065637065627,0.4072736330800847,0.2698412698412697,0.2615886476192746,0.17446911196911175,0.07490347490347471,0.0,0.0,0.19633986380548749,0.0,0.26460746460746387,0.09865530555185664,0.10389610389610363,0.0,0.41395477109762796,0.2781853281853278,0.16651345222773783,0.223938223938224,0.44960373907742324,0.0,0.049273763559477116,0.1147866012730878,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.625,0.04960195958358851,0.26033057851239666,0.2258064516129032,0.258310760896331,0.3571428571428571,0.19444444444444442,0.0,0.058823529411764705,0.0,0.3111111111111111,0.26506024096385544,0.057692307692307696,0.0,0.0,0.0,0.25384615384615383,0.0,0.0,0.12903225806451613,0.045454545454545456,0.44654088050314467,0.0,0.6206896551724138,0.09523809523809523,0.25925925925925924,0.0,0.3333333333333333,0.19047619047619047,0.0,0.17236842105263137,0.0,0.05427631578947325,0.0,0.1893274853801167,0.21077419504473427,0.049547697368420664,0.0,0.0,0.0,0.2001781884697867,0.0,0.0,0.11206896551724142,0.04425837320574129,0.323154584574644,0.0,0.3878289473684207,0.07738095238095234,0.26710526315789385,0.0,0.3049342105263154,0.16791979949874697,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.20514390691977955,0.30785123966942146,0.07096774193548387,0.2184191085939423,0.19047619047619047,0.2361111111111111,0.019230769230769232,0.0,0.23255813953488372,0.0,0.32530120481927716,0.0,0.03333333333333333,0.6911764705882353,0.0,0.15384615384615385,0.0,0.1764705882352941,0.5806451612903225,0.13636363636363635,0.4528301886792453,0.0,0.24137931034482757,0.25396825396825395,0.1111111111111111,0.0,0.16666666666666666,0.047619047619047616,0.0,0.205253456221198,0.021505376344086002,0.0,0.22684703433922976,0.0,0.2500605927068417,0.0,0.03129032258064514,0.4905123339658442,0.0,0.11599311458998837,0.0,0.16580645161290308,0.4945494994438264,0.13020527859237527,0.3213633597078514,0.0,0.14790322580645152,0.2023553507424475,0.11225806451612896,0.0,0.14951612903225792,0.041167434715821814,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
