season,total_votes,n_lines,n_directions,n_words,n_speak_char,andy,angela,creed,darryl,david,dwight,erin,gabe,holly,jan,jim,karen,kelly,kevin,meredith,michael,nellie,oscar,pam,phyllis,robert,ryan,stanley,toby,andy_perc,angela_perc,creed_perc,darryl_perc,david_perc,dwight_perc,erin_perc,gabe_perc,holly_perc,jan_perc,jim_perc,karen_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,nellie_perc,oscar_perc,pam_perc,phyllis_perc,robert_perc,ryan_perc,stanley_perc,toby_perc,michael_dummy,dwight_dummy,jim_dummy,pam_dummy,andy_dummy,angela_dummy,kevin_dummy,erin_dummy,oscar_dummy,ryan_dummy,darryl_dummy,phyllis_dummy,kelly_dummy,toby_dummy,jan_dummy,stanley_dummy,meredith_dummy,holly_dummy,nellie_dummy,gabe_dummy,robert_dummy,creed_dummy,david_dummy,karen_dummy,Paul_Lieberstein_dummy_writer,Lee_Eisenberg_dummy_writer,Michael_Schur_dummy_writer,Jennifer_Celotta_dummy_writer,B.J._Novak_dummy_writer,Justin_Spitzer_dummy_writer,Aaron_Shure_dummy_writer,Charlie_Grandy_dummy_writer,Greg_Daniels_dummy_writer,Brent_Forrester_dummy_writer,Gene_Stupnitsky_dummy_writer,Mindy_Kaling_dummy_writer,Halsted_Sullivan_dummy_writer,Warren_Lieberstein_dummy_writer,Daniel_Chun_dummy_writer,Allison_Silverman_dummy_writer,Owen_Ellickson_dummy_writer,Carrie_Kemper_dummy_writer,Steve_Hely_dummy_writer,Robert_Padnick_dummy_writer,low_appearance_writer,Ken_Kwapis_dummy_director,David_Rogers_dummy_director,Randall_Einhorn_dummy_director,Paul_Lieberstein_dummy_director,Harold_Ramis_dummy_director,Charles_McDougall_dummy_director,Ken_Whittingham_dummy_director,Jennifer_Celotta_dummy_director,B.J._Novak_dummy_director,Troy_Miller_dummy_director,Greg_Daniels_dummy_director,Brent_Forrester_dummy_director,Jeffrey_Blitz_dummy_director,Tucker_Gates_dummy_director,Matt_Sohn_dummy_director,Steve_Carell_dummy_director,Paul_Feig_dummy_director,John_Krasinski_dummy_director,Rainn_Wilson_dummy_director,low_appearance_directors,multi_part_dummy
3,2622,185,18,2108,23,0.0,2.0,5.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,11.0,5.0,9.0,6.0,3.0,45.0,0.0,4.0,26.0,0.0,0.0,15.0,1.0,3.0,0.0,0.0042194092827004,0.010548523206751,0.0,0.0,0.0464135021097046,0.0,0.0,0.0,0.0,0.0232067510548523,0.010548523206751,0.0189873417721519,0.0126582278481012,0.0063291139240506,0.0949367088607595,0.0,0.0084388185654008,0.0548523206751054,0.0,0.0,0.0316455696202531,0.0021097046413502,0.0063291139240506,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2463,206,27,2612,16,0.0,4.0,4.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,4.0,0.0,52.0,0.0,3.0,19.0,4.0,0.0,7.0,5.0,4.0,0.0,0.0145454545454545,0.0145454545454545,0.0,0.0,0.1781818181818182,0.0,0.0,0.0,0.0,0.1272727272727272,0.0,0.0181818181818181,0.0145454545454545,0.0,0.1890909090909091,0.0,0.0109090909090909,0.069090909090909,0.0145454545454545,0.0,0.0254545454545454,0.0181818181818181,0.0145454545454545,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1634,287,66,2780,15,0.0,11.0,2.0,17.0,0.0,59.0,24.0,0.0,0.0,0.0,58.0,0.0,0.0,13.0,5.0,0.0,11.0,7.0,32.0,10.0,0.0,0.0,5.0,11.0,0.0,0.0210727969348659,0.003831417624521,0.0325670498084291,0.0,0.1130268199233716,0.0459770114942528,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0249042145593869,0.0095785440613026,0.0,0.0210727969348659,0.0134099616858237,0.0613026819923371,0.0191570881226053,0.0,0.0,0.0095785440613026,0.0210727969348659,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1598,307,51,3162,26,10.0,20.0,3.0,0.0,0.0,24.0,7.0,8.0,0.0,0.0,24.0,0.0,5.0,9.0,0.0,66.0,0.0,5.0,28.0,1.0,0.0,54.0,7.0,0.0,0.020242914979757,0.0404858299595141,0.0060728744939271,0.0,0.0,0.048582995951417,0.0141700404858299,0.0161943319838056,0.0,0.0,0.048582995951417,0.0,0.0101214574898785,0.0182186234817813,0.0,0.1336032388663967,0.0,0.0101214574898785,0.0566801619433198,0.0020242914979757,0.0,0.1093117408906882,0.0141700404858299,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2440,257,55,2834,17,0.0,12.0,3.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,3.0,0.0,88.0,0.0,9.0,24.0,12.0,0.0,4.0,4.0,22.0,0.0,0.0459770114942528,0.0114942528735632,0.0,0.0,0.1264367816091954,0.0,0.0,0.0,0.0,0.10727969348659,0.0,0.0076628352490421,0.0114942528735632,0.0,0.3371647509578544,0.0,0.0344827586206896,0.0919540229885057,0.0459770114942528,0.0,0.0153256704980842,0.0153256704980842,0.0842911877394636,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1407,260,70,3076,21,62.0,4.0,0.0,3.0,0.0,32.0,26.0,0.0,0.0,8.0,26.0,0.0,0.0,6.0,2.0,0.0,7.0,7.0,28.0,6.0,0.0,0.0,1.0,0.0,0.2108843537414966,0.0136054421768707,0.0,0.010204081632653,0.0,0.1088435374149659,0.0884353741496598,0.0,0.0,0.0272108843537414,0.0884353741496598,0.0,0.0,0.0204081632653061,0.0068027210884353,0.0,0.0238095238095238,0.0238095238095238,0.0952380952380952,0.0204081632653061,0.0,0.0,0.0034013605442176,0.0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3644,368,28,3204,23,0.0,5.0,4.0,8.0,0.0,31.0,0.0,0.0,0.0,40.0,52.0,0.0,1.0,16.0,1.0,94.0,0.0,4.0,44.0,7.0,0.0,1.0,1.0,4.0,0.0,0.0177935943060498,0.0142348754448398,0.0284697508896797,0.0,0.1103202846975089,0.0,0.0,0.0,0.1423487544483986,0.1850533807829181,0.0,0.0035587188612099,0.0569395017793594,0.0035587188612099,0.3345195729537366,0.0,0.0142348754448398,0.1565836298932384,0.0249110320284697,0.0,0.0035587188612099,0.0035587188612099,0.0142348754448398,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1464,295,35,2667,30,49.0,20.0,1.0,15.0,17.0,27.0,9.0,2.0,0.0,0.0,31.0,0.0,4.0,3.0,2.0,0.0,19.0,11.0,22.0,5.0,15.0,0.0,1.0,5.0,0.1891891891891892,0.0772200772200772,0.0038610038610038,0.0579150579150579,0.0656370656370656,0.1042471042471042,0.0347490347490347,0.0077220077220077,0.0,0.0,0.1196911196911196,0.0,0.0154440154440154,0.0115830115830115,0.0077220077220077,0.0,0.0733590733590733,0.0424710424710424,0.0849420849420849,0.0193050193050193,0.0579150579150579,0.0,0.0038610038610038,0.0193050193050193,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1726,267,46,3064,27,14.0,0.0,1.0,0.0,14.0,26.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,4.0,1.0,71.0,0.0,18.0,12.0,7.0,0.0,18.0,4.0,0.0,0.0460526315789473,0.0,0.0032894736842105,0.0,0.0460526315789473,0.0855263157894736,0.0098684210526315,0.0,0.0,0.0,0.1217105263157894,0.0,0.0,0.0131578947368421,0.0032894736842105,0.2335526315789473,0.0,0.0592105263157894,0.0394736842105263,0.0230263157894736,0.0,0.0592105263157894,0.0131578947368421,0.0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2742,290,22,2902,20,17.0,1.0,0.0,10.0,0.0,31.0,0.0,1.0,47.0,0.0,24.0,0.0,3.0,18.0,3.0,72.0,0.0,7.0,32.0,3.0,0.0,9.0,1.0,0.0,0.0548387096774193,0.0032258064516129,0.0,0.032258064516129,0.0,0.1,0.0,0.0032258064516129,0.1516129032258064,0.0,0.0774193548387096,0.0,0.0096774193548387,0.0580645161290322,0.0096774193548387,0.232258064516129,0.0,0.0225806451612903,0.1032258064516129,0.0096774193548387,0.0,0.0290322580645161,0.0032258064516129,0.0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
