n_lines,n_directions,n_words,n_speak_char,andy,angela,creed,darryl,david,dwight,erin,gabe,holly,jan,jim,karen,kelly,kevin,meredith,michael,nellie,oscar,pam,phyllis,robert,ryan,stanley,toby,andy_perc,angela_perc,creed_perc,darryl_perc,david_perc,dwight_perc,erin_perc,gabe_perc,holly_perc,jan_perc,jim_perc,karen_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,nellie_perc,oscar_perc,pam_perc,phyllis_perc,robert_perc,ryan_perc,stanley_perc,toby_perc,michael_dummy,dwight_dummy,jim_dummy,pam_dummy,andy_dummy,angela_dummy,kevin_dummy,erin_dummy,oscar_dummy,ryan_dummy,darryl_dummy,phyllis_dummy,kelly_dummy,toby_dummy,jan_dummy,stanley_dummy,meredith_dummy,holly_dummy,nellie_dummy,gabe_dummy,robert_dummy,creed_dummy,david_dummy,karen_dummy,Jim:Dwight,Michael:Dwight,Jim:Pam,writer_Aaron_Shure,writer_Allison_Silverman,writer_B.J._Novak,writer_Brent_Forrester,writer_Carrie_Kemper,writer_Charlie_Grandy,writer_Daniel_Chun,writer_Gene_Stupnitsky;Lee_Eisenberg,writer_Greg_Daniels,writer_Halsted_Sullivan;Warren_Lieberstein,writer_Jennifer_Celotta,writer_Justin_Spitzer,writer_Lee_Eisenberg;Gene_Stupnitsky,writer_Michael_Schur,writer_Mindy_Kaling,writer_Owen_Ellickson,writer_Paul_Lieberstein,writer_Robert_Padnick,writer_Steve_Hely,writer_Warren_Lieberstein;Halsted_Sullivan,low_appearance_writer,director_B.J._Novak,director_Brent_Forrester,director_Charles_McDougall,director_David_Rogers,director_Greg_Daniels,director_Harold_Ramis,director_Jeffrey_Blitz,director_Jennifer_Celotta,director_John_Krasinski,director_Ken_Kwapis,director_Ken_Whittingham,director_Matt_Sohn,director_Paul_Feig,director_Paul_Lieberstein,director_Rainn_Wilson,director_Randall_Einhorn,director_Steve_Carell,director_Troy_Miller,director_Tucker_Gates,low_appearance_director,multi_part
291,63,2476,15,65.0,22.0,2.0,0.0,8.0,66.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,8.0,6.0,52.0,0.0,10.0,9.0,3.0,0.0,0.0,2.0,0.0,0.2425373134328358,0.0820895522388059,0.0074626865671641,0.0,0.0298507462686567,0.2462686567164179,0.0,0.0,0.0,0.0,0.126865671641791,0.0,0.0074626865671641,0.0298507462686567,0.0223880597014925,0.1940298507462686,0.0,0.0373134328358208,0.0335820895522388,0.0111940298507462,0.0,0.0,0.0074626865671641,0.0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,2244.0,3432.0,306.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
273,62,2552,20,38.0,4.0,0.0,9.0,0.0,37.0,48.0,7.0,0.0,0.0,21.0,0.0,6.0,11.0,9.0,0.0,0.0,11.0,0.0,2.0,23.0,8.0,7.0,7.0,0.1576763485477178,0.0165975103734439,0.0,0.0373443983402489,0.0,0.1535269709543568,0.1991701244813278,0.0290456431535269,0.0,0.0,0.0871369294605809,0.0,0.0248962655601659,0.0456431535269709,0.0373443983402489,0.0,0.0,0.0456431535269709,0.0,0.0082987551867219,0.0954356846473029,0.0331950207468879,0.0290456431535269,0.0290456431535269,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,777.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,47,2331,19,0.0,12.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,5.0,22.0,0.0,4.0,14.0,1.0,87.0,0.0,7.0,26.0,2.0,0.0,3.0,3.0,8.0,0.0,0.0538116591928251,0.0,0.0,0.0,0.1928251121076233,0.0,0.0,0.0,0.0224215246636771,0.0986547085201793,0.0,0.0179372197309417,0.0627802690582959,0.0044843049327354,0.3901345291479821,0.0,0.0313901345291479,0.116591928251121,0.0089686098654708,0.0,0.0134529147982062,0.0134529147982062,0.0358744394618834,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,946.0,3741.0,572.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
329,135,3483,25,24.0,12.0,2.0,3.0,0.0,16.0,12.0,10.0,6.0,0.0,18.0,0.0,3.0,11.0,6.0,116.0,0.0,6.0,20.0,18.0,0.0,3.0,7.0,5.0,0.0774193548387096,0.0387096774193548,0.0064516129032258,0.0096774193548387,0.0,0.0516129032258064,0.0387096774193548,0.032258064516129,0.0193548387096774,0.0,0.0580645161290322,0.0,0.0096774193548387,0.0354838709677419,0.0193548387096774,0.3741935483870968,0.0,0.0193548387096774,0.064516129032258,0.0580645161290322,0.0,0.0096774193548387,0.0225806451612903,0.0161290322580645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,288.0,1856.0,360.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
262,16,2519,18,5.0,4.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,7.0,45.0,10.0,6.0,3.0,0.0,33.0,0.0,0.0,52.0,2.0,0.0,36.0,6.0,1.0,0.0172413793103448,0.0137931034482758,0.0,0.0,0.0,0.1551724137931034,0.0,0.0,0.0,0.0241379310344827,0.1551724137931034,0.0344827586206896,0.0206896551724137,0.0103448275862068,0.0,0.1137931034482758,0.0,0.0,0.1793103448275862,0.0068965517241379,0.0,0.1241379310344827,0.0206896551724137,0.0034482758620689,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2025.0,1485.0,2340.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
236,52,2737,19,4.0,6.0,6.0,0.0,0.0,36.0,0.0,0.0,0.0,12.0,15.0,15.0,5.0,2.0,1.0,83.0,0.0,0.0,25.0,3.0,0.0,6.0,5.0,3.0,0.0112676056338028,0.0169014084507042,0.0169014084507042,0.0,0.0,0.1014084507042253,0.0,0.0,0.0,0.0338028169014084,0.0422535211267605,0.0422535211267605,0.0140845070422535,0.0056338028169014,0.0028169014084507,0.2338028169014084,0.0,0.0,0.0704225352112676,0.0084507042253521,0.0,0.0169014084507042,0.0140845070422535,0.0084507042253521,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,540.0,2988.0,375.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
257,54,2795,21,26.0,11.0,2.0,5.0,0.0,73.0,13.0,20.0,0.0,0.0,28.0,0.0,6.0,20.0,1.0,0.0,0.0,4.0,11.0,5.0,0.0,2.0,2.0,6.0,0.134020618556701,0.056701030927835,0.0103092783505154,0.0257731958762886,0.0,0.3762886597938144,0.0670103092783505,0.1030927835051546,0.0,0.0,0.1443298969072164,0.0,0.0309278350515463,0.1030927835051546,0.0051546391752577,0.0,0.0,0.0206185567010309,0.056701030927835,0.0257731958762886,0.0,0.0103092783505154,0.0103092783505154,0.0309278350515463,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,2044.0,0.0,308.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
283,67,3074,19,54.0,12.0,1.0,4.0,0.0,34.0,40.0,0.0,0.0,0.0,9.0,0.0,0.0,25.0,3.0,0.0,16.0,27.0,11.0,0.0,0.0,0.0,0.0,9.0,0.2307692307692307,0.0512820512820512,0.0042735042735042,0.017094017094017,0.0,0.1452991452991453,0.1709401709401709,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.1068376068376068,0.0128205128205128,0.0,0.0683760683760683,0.1153846153846153,0.047008547008547,0.0,0.0,0.0,0.0,0.0384615384615384,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,306.0,0.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
313,90,3327,19,29.0,1.0,0.0,0.0,0.0,41.0,10.0,1.0,32.0,0.0,38.0,0.0,3.0,13.0,3.0,57.0,0.0,1.0,36.0,1.0,0.0,4.0,1.0,0.0,0.0944625407166123,0.003257328990228,0.0,0.0,0.0,0.1335504885993485,0.0325732899022801,0.003257328990228,0.1042345276872964,0.0,0.1237785016286645,0.0,0.009771986970684,0.0423452768729641,0.009771986970684,0.1856677524429967,0.0,0.003257328990228,0.1172638436482084,0.003257328990228,0.0,0.013029315960912,0.003257328990228,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1558.0,2337.0,1368.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
307,60,3087,26,48.0,8.0,3.0,1.0,0.0,22.0,25.0,2.0,0.0,0.0,39.0,0.0,0.0,3.0,0.0,0.0,22.0,11.0,32.0,9.0,19.0,3.0,1.0,0.0,0.1458966565349544,0.0243161094224924,0.0091185410334346,0.0030395136778115,0.0,0.0668693009118541,0.0759878419452887,0.0060790273556231,0.0,0.0,0.1185410334346504,0.0,0.0,0.0091185410334346,0.0,0.0,0.0668693009118541,0.033434650455927,0.0972644376899696,0.0273556231003039,0.0577507598784194,0.0091185410334346,0.0030395136778115,0.0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,858.0,0.0,1248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
