,n_lines,n_directions,n_words,n_speak_char,andy,angela,creed,darryl,david,dwight,erin,gabe,holly,jan,jim,karen,kelly,kevin,meredith,michael,nellie,oscar,pam,phyllis,n_lines n_directions,n_lines n_words,n_lines n_speak_char,n_lines andy,n_lines angela,n_lines creed,n_lines darryl,n_lines david,n_lines dwight,n_lines erin,n_lines gabe,n_lines holly,n_lines jan,n_lines jim,n_lines karen,n_lines kelly,n_lines kevin,n_lines meredith,n_lines michael,n_lines nellie,n_lines oscar,n_lines pam,n_lines phyllis,n_directions n_words,n_directions n_speak_char,n_directions andy,n_directions angela,n_directions creed,n_directions darryl,n_directions david,n_directions dwight,n_directions erin,n_directions gabe,n_directions holly,n_directions jan,n_directions jim,n_directions karen,n_directions kelly,n_directions kevin,n_directions meredith,n_directions michael,n_directions nellie,n_directions oscar,n_directions pam,n_directions phyllis,n_words n_speak_char,n_words andy,n_words angela,n_words creed,n_words darryl,n_words david,n_words dwight,n_words erin,n_words gabe,n_words holly,n_words jan,n_words jim,n_words karen,n_words kelly,n_words kevin,n_words meredith,n_words michael,n_words nellie,n_words oscar,n_words pam,n_words phyllis,n_speak_char andy,n_speak_char angela,n_speak_char creed,n_speak_char darryl,n_speak_char david,n_speak_char dwight,n_speak_char erin,n_speak_char gabe,n_speak_char holly,n_speak_char jan,n_speak_char jim,n_speak_char karen,n_speak_char kelly,n_speak_char kevin,n_speak_char meredith,n_speak_char michael,n_speak_char nellie,n_speak_char oscar,n_speak_char pam,n_speak_char phyllis,andy angela,andy creed,andy darryl,andy david,andy dwight,andy erin,andy gabe,andy holly,andy jan,andy jim,andy karen,andy kelly,andy kevin,andy meredith,andy michael,andy nellie,andy oscar,andy pam,andy phyllis,angela creed,angela darryl,angela david,angela dwight,angela erin,angela gabe,angela holly,angela jan,angela jim,angela karen,angela kelly,angela kevin,angela meredith,angela michael,angela nellie,angela oscar,angela pam,angela phyllis,creed darryl,creed david,creed dwight,creed erin,creed gabe,creed holly,creed jan,creed jim,creed karen,creed kelly,creed kevin,creed meredith,creed michael,creed nellie,creed oscar,creed pam,creed phyllis,darryl david,darryl dwight,darryl erin,darryl gabe,darryl holly,darryl jan,darryl jim,darryl karen,darryl kelly,darryl kevin,darryl meredith,darryl michael,darryl nellie,darryl oscar,darryl pam,darryl phyllis,david dwight,david erin,david gabe,david holly,david jan,david jim,david karen,david kelly,david kevin,david meredith,david michael,david nellie,david oscar,david pam,david phyllis,dwight erin,dwight gabe,dwight holly,dwight jan,dwight jim,dwight karen,dwight kelly,dwight kevin,dwight meredith,dwight michael,dwight nellie,dwight oscar,dwight pam,dwight phyllis,erin gabe,erin holly,erin jan,erin jim,erin karen,erin kelly,erin kevin,erin meredith,erin michael,erin nellie,erin oscar,erin pam,erin phyllis,gabe holly,gabe jan,gabe jim,gabe karen,gabe kelly,gabe kevin,gabe meredith,gabe michael,gabe nellie,gabe oscar,gabe pam,gabe phyllis,holly jan,holly jim,holly karen,holly kelly,holly kevin,holly meredith,holly michael,holly nellie,holly oscar,holly pam,holly phyllis,jan jim,jan karen,jan kelly,jan kevin,jan meredith,jan michael,jan nellie,jan oscar,jan pam,jan phyllis,jim karen,jim kelly,jim kevin,jim meredith,jim michael,jim nellie,jim oscar,jim pam,jim phyllis,karen kelly,karen kevin,karen meredith,karen michael,karen nellie,karen oscar,karen pam,karen phyllis,kelly kevin,kelly meredith,kelly michael,kelly nellie,kelly oscar,kelly pam,kelly phyllis,kevin meredith,kevin michael,kevin nellie,kevin oscar,kevin pam,kevin phyllis,meredith michael,meredith nellie,meredith oscar,meredith pam,meredith phyllis,michael nellie,michael oscar,michael pam,michael phyllis,nellie oscar,nellie pam,nellie phyllis,oscar pam,oscar phyllis,pam phyllis
0,0.0,22.0,39.0,32.0,48.0,8.0,3.0,25.0,11.0,3.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,704.0,1056.0,176.0,66.0,550.0,242.0,66.0,22.0,198.0,0.0,0.0,0.0,22.0,0.0,0.0,484.0,44.0,418.0,66.0,0.0,0.0,1248.0,1872.0,312.0,117.0,975.0,429.0,117.0,39.0,351.0,0.0,0.0,0.0,39.0,0.0,0.0,858.0,78.0,741.0,117.0,0.0,0.0,1536.0,256.0,96.0,800.0,352.0,96.0,32.0,288.0,0.0,0.0,0.0,32.0,0.0,0.0,704.0,64.0,608.0,96.0,0.0,0.0,384.0,144.0,1200.0,528.0,144.0,48.0,432.0,0.0,0.0,0.0,48.0,0.0,0.0,1056.0,96.0,912.0,144.0,0.0,0.0,24.0,200.0,88.0,24.0,8.0,72.0,0.0,0.0,0.0,8.0,0.0,0.0,176.0,16.0,152.0,24.0,0.0,0.0,75.0,33.0,9.0,3.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,66.0,6.0,57.0,9.0,0.0,0.0,275.0,75.0,25.0,225.0,0.0,0.0,0.0,25.0,0.0,0.0,550.0,50.0,475.0,75.0,0.0,0.0,33.0,11.0,99.0,0.0,0.0,0.0,11.0,0.0,0.0,242.0,22.0,209.0,33.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,66.0,6.0,57.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,198.0,18.0,171.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,418.0,66.0,0.0,0.0,38.0,6.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0
1,0.0,37.0,31.0,42.0,11.0,32.0,9.0,3.0,29.0,0.0,12.0,6.0,0.0,2.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.0,1554.0,407.0,1184.0,333.0,111.0,1073.0,0.0,444.0,222.0,0.0,74.0,0.0,185.0,111.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,1302.0,341.0,992.0,279.0,93.0,899.0,0.0,372.0,186.0,0.0,62.0,0.0,155.0,93.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,462.0,1344.0,378.0,126.0,1218.0,0.0,504.0,252.0,0.0,84.0,0.0,210.0,126.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,352.0,99.0,33.0,319.0,0.0,132.0,66.0,0.0,22.0,0.0,55.0,33.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,288.0,96.0,928.0,0.0,384.0,192.0,0.0,64.0,0.0,160.0,96.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,27.0,261.0,0.0,108.0,54.0,0.0,18.0,0.0,45.0,27.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,36.0,18.0,0.0,6.0,0.0,15.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,174.0,0.0,58.0,0.0,145.0,87.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,24.0,0.0,60.0,36.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,30.0,18.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,94.0,31.0,52.0,44.0,0.0,5.0,16.0,0.0,4.0,1.0,8.0,7.0,1.0,4.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2914.0,4888.0,4136.0,0.0,470.0,1504.0,0.0,376.0,94.0,752.0,658.0,94.0,376.0,3760.0,94.0,94.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,1612.0,1364.0,0.0,155.0,496.0,0.0,124.0,31.0,248.0,217.0,31.0,124.0,1240.0,31.0,31.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,2288.0,0.0,260.0,832.0,0.0,208.0,52.0,416.0,364.0,52.0,208.0,2080.0,52.0,52.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,220.0,704.0,0.0,176.0,44.0,352.0,308.0,44.0,176.0,1760.0,44.0,44.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,5.0,40.0,35.0,5.0,20.0,200.0,5.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,64.0,16.0,128.0,112.0,16.0,64.0,640.0,16.0,16.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,28.0,4.0,16.0,160.0,4.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,7.0,1.0,4.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,56.0,8.0,32.0,320.0,8.0,8.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,7.0,28.0,280.0,7.0,7.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,160.0,4.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,77.0,23.0,17.0,21.0,0.0,4.0,5.0,0.0,1.0,10.0,1.0,0.0,6.0,13.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1771.0,1309.0,1617.0,0.0,308.0,385.0,0.0,77.0,770.0,77.0,0.0,462.0,1001.0,0.0,462.0,154.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,391.0,483.0,0.0,92.0,115.0,0.0,23.0,230.0,23.0,0.0,138.0,299.0,0.0,138.0,46.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,357.0,0.0,68.0,85.0,0.0,17.0,170.0,17.0,0.0,102.0,221.0,0.0,102.0,34.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,84.0,105.0,0.0,21.0,210.0,21.0,0.0,126.0,273.0,0.0,126.0,42.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,40.0,4.0,0.0,24.0,52.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,50.0,5.0,0.0,30.0,65.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,6.0,13.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,60.0,130.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,6.0,13.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,36.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,78.0,26.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,136.0,39.0,41.0,50.0,11.0,4.0,10.0,0.0,25.0,21.0,10.0,2.0,13.0,2.0,31.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5304.0,5576.0,6800.0,1496.0,544.0,1360.0,0.0,3400.0,2856.0,1360.0,272.0,1768.0,272.0,4216.0,952.0,136.0,0.0,0.0,0.0,0.0,952.0,0.0,0.0,1599.0,1950.0,429.0,156.0,390.0,0.0,975.0,819.0,390.0,78.0,507.0,78.0,1209.0,273.0,39.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,2050.0,451.0,164.0,410.0,0.0,1025.0,861.0,410.0,82.0,533.0,82.0,1271.0,287.0,41.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,550.0,200.0,500.0,0.0,1250.0,1050.0,500.0,100.0,650.0,100.0,1550.0,350.0,50.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,44.0,110.0,0.0,275.0,231.0,110.0,22.0,143.0,22.0,341.0,77.0,11.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,40.0,0.0,100.0,84.0,40.0,8.0,52.0,8.0,124.0,28.0,4.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,250.0,210.0,100.0,20.0,130.0,20.0,310.0,70.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,250.0,50.0,325.0,50.0,775.0,175.0,25.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,210.0,42.0,273.0,42.0,651.0,147.0,21.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,20.0,130.0,20.0,310.0,70.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,26.0,4.0,62.0,14.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,26.0,403.0,91.0,13.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,62.0,14.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,217.0,31.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,61.0,15.0,9.0,31.0,4.0,5.0,10.0,7.0,0.0,0.0,5.0,0.0,15.0,0.0,21.0,2.0,0.0,13.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0,549.0,1891.0,244.0,305.0,610.0,427.0,0.0,0.0,305.0,0.0,915.0,0.0,1281.0,122.0,0.0,793.0,0.0,427.0,122.0,0.0,0.0,135.0,465.0,60.0,75.0,150.0,105.0,0.0,0.0,75.0,0.0,225.0,0.0,315.0,30.0,0.0,195.0,0.0,105.0,30.0,0.0,0.0,279.0,36.0,45.0,90.0,63.0,0.0,0.0,45.0,0.0,135.0,0.0,189.0,18.0,0.0,117.0,0.0,63.0,18.0,0.0,0.0,124.0,155.0,310.0,217.0,0.0,0.0,155.0,0.0,465.0,0.0,651.0,62.0,0.0,403.0,0.0,217.0,62.0,0.0,0.0,20.0,40.0,28.0,0.0,0.0,20.0,0.0,60.0,0.0,84.0,8.0,0.0,52.0,0.0,28.0,8.0,0.0,0.0,50.0,35.0,0.0,0.0,25.0,0.0,75.0,0.0,105.0,10.0,0.0,65.0,0.0,35.0,10.0,0.0,0.0,70.0,0.0,0.0,50.0,0.0,150.0,0.0,210.0,20.0,0.0,130.0,0.0,70.0,20.0,0.0,0.0,0.0,0.0,35.0,0.0,105.0,0.0,147.0,14.0,0.0,91.0,0.0,49.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,105.0,10.0,0.0,65.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,30.0,0.0,195.0,0.0,105.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,273.0,0.0,147.0,42.0,0.0,0.0,0.0,26.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
6,50.0,71.0,20.0,15.0,0.0,7.0,6.0,0.0,6.0,7.0,0.0,3.0,5.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3550.0,1000.0,750.0,0.0,350.0,300.0,0.0,300.0,350.0,0.0,150.0,250.0,250.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1420.0,1065.0,0.0,497.0,426.0,0.0,426.0,497.0,0.0,213.0,355.0,355.0,0.0,426.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,300.0,0.0,140.0,120.0,0.0,120.0,140.0,0.0,60.0,100.0,100.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,105.0,90.0,0.0,90.0,105.0,0.0,45.0,75.0,75.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,49.0,0.0,21.0,35.0,35.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,42.0,0.0,18.0,30.0,30.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,18.0,30.0,30.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,21.0,35.0,35.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,81.0,29.0,36.0,41.0,0.0,1.0,1.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.0,2916.0,3321.0,0.0,81.0,81.0,0.0,243.0,648.0,0.0,162.0,0.0,0.0,972.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,1189.0,0.0,29.0,29.0,0.0,87.0,232.0,0.0,58.0,0.0,0.0,348.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.0,0.0,36.0,36.0,0.0,108.0,288.0,0.0,72.0,0.0,0.0,432.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,123.0,328.0,0.0,82.0,0.0,0.0,492.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.0,0.0,0.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,96.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,45.0,22.0,11.0,26.0,0.0,2.0,6.0,0.0,4.0,15.0,0.0,0.0,9.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,990.0,495.0,1170.0,0.0,90.0,270.0,0.0,180.0,675.0,0.0,0.0,405.0,135.0,0.0,45.0,135.0,0.0,0.0,0.0,0.0,225.0,0.0,225.0,242.0,572.0,0.0,44.0,132.0,0.0,88.0,330.0,0.0,0.0,198.0,66.0,0.0,22.0,66.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,286.0,0.0,22.0,66.0,0.0,44.0,165.0,0.0,0.0,99.0,33.0,0.0,11.0,33.0,0.0,0.0,0.0,0.0,55.0,0.0,55.0,0.0,52.0,156.0,0.0,104.0,390.0,0.0,0.0,234.0,78.0,0.0,26.0,78.0,0.0,0.0,0.0,0.0,130.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,30.0,0.0,0.0,18.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,24.0,90.0,0.0,0.0,54.0,18.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,36.0,12.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,135.0,45.0,0.0,15.0,45.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
9,0.0,60.0,55.0,15.0,20.0,11.0,4.0,19.0,10.0,20.0,14.0,4.0,8.0,0.0,0.0,6.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,900.0,1200.0,660.0,240.0,1140.0,600.0,1200.0,840.0,240.0,480.0,0.0,0.0,360.0,0.0,0.0,1440.0,360.0,0.0,0.0,0.0,0.0,825.0,1100.0,605.0,220.0,1045.0,550.0,1100.0,770.0,220.0,440.0,0.0,0.0,330.0,0.0,0.0,1320.0,330.0,0.0,0.0,0.0,0.0,300.0,165.0,60.0,285.0,150.0,300.0,210.0,60.0,120.0,0.0,0.0,90.0,0.0,0.0,360.0,90.0,0.0,0.0,0.0,0.0,220.0,80.0,380.0,200.0,400.0,280.0,80.0,160.0,0.0,0.0,120.0,0.0,0.0,480.0,120.0,0.0,0.0,0.0,0.0,44.0,209.0,110.0,220.0,154.0,44.0,88.0,0.0,0.0,66.0,0.0,0.0,264.0,66.0,0.0,0.0,0.0,0.0,76.0,40.0,80.0,56.0,16.0,32.0,0.0,0.0,24.0,0.0,0.0,96.0,24.0,0.0,0.0,0.0,0.0,190.0,380.0,266.0,76.0,152.0,0.0,0.0,114.0,0.0,0.0,456.0,114.0,0.0,0.0,0.0,0.0,200.0,140.0,40.0,80.0,0.0,0.0,60.0,0.0,0.0,240.0,60.0,0.0,0.0,0.0,0.0,280.0,80.0,160.0,0.0,0.0,120.0,0.0,0.0,480.0,120.0,0.0,0.0,0.0,0.0,56.0,112.0,0.0,0.0,84.0,0.0,0.0,336.0,84.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,24.0,0.0,0.0,96.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,192.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
