,imdb_rating
151,7.5
155,7.8
170,7.8
63,7.9
129,8.4
77,9.6
15,8.8
117,8.2
10,8.2
83,8.4
86,8.7
163,7.7
36,8.2
4,8.4
85,8.7
158,7.2
95,7.7
94,9.3
147,7.7
184,9.3
116,8.3
72,8.6
49,9.1
20,8.2
35,8.7
70,8.5
81,8.7
29,8.2
60,8.1
119,7.8
69,8.1
52,8.4
22,8.4
113,7.9
75,8.7
143,7.6
37,8.7
179,7.5
92,8.2
181,8.0
64,9.3
165,7.5
169,7.7
177,7.4
161,7.7
180,8.0
84,8.3
132,9.2
168,7.8
162,7.8
125,8.9
172,7.7
76,8.1
32,8.2
130,9.3
106,8.4
109,8.6
13,8.2
24,8.1
59,9.3
45,8.9
34,8.5
159,7.1
138,8.8
47,8.7
149,7.9
9,8.4
152,7.8
14,8.4
96,8.6
16,8.6
87,9.1
33,8.0
80,8.1
93,8.0
133,7.8
126,8.3
67,8.1
11,8.2
111,8.0
110,7.9
102,8.5
137,8.7
175,7.7
18,8.3
154,8.1
38,8.5
68,8.1
2,7.9
31,8.0
173,7.9
107,7.8
112,8.2
134,8.9
0,7.6
58,8.7
5,7.8
183,8.9
105,8.1
131,7.5
41,8.2
108,7.9
139,8.2
123,7.8
148,8.0
127,7.7
88,8.3
30,8.5
65,8.8
44,8.5
27,9.3
82,8.3
115,8.4
145,7.7
7,8.2
160,7.1
114,8.0
157,6.7
8,8.4
73,8.7
146,7.0
120,8.2
101,8.3
