season,director,writer,total_votes,n_lines,n_directions,n_words,n_speak_char,main_chars,andy,angela,darryl,dwight,erin,holly,jan,jim,kelly,kevin,meredith,michael,oscar,pam,phyllis,ryan,stanley,toby,andy_perc,angela_perc,darryl_perc,dwight_perc,erin_perc,holly_perc,jan_perc,jim_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,oscar_perc,pam_perc,phyllis_perc,ryan_perc,stanley_perc,toby_perc,Halsted_Sullivan_dummy_writer,Mindy_Kaling_dummy_writer,Daniel_Chun_dummy_writer,Jennifer_Celotta_dummy_writer,Lee_Eisenberg_dummy_writer,Michael_Schur_dummy_writer,Warren_Lieberstein_dummy_writer,Charlie_Grandy_dummy_writer,Owen_Ellickson_dummy_writer,B.J._Novak_dummy_writer,Brent_Forrester_dummy_writer,Steve_Hely_dummy_writer,Paul_Lieberstein_dummy_writer,Justin_Spitzer_dummy_writer,Allison_Silverman_dummy_writer,Gene_Stupnitsky_dummy_writer,Aaron_Shure_dummy_writer,Robert_Padnick_dummy_writer,Carrie_Kemper_dummy_writer,Greg_Daniels_dummy_writer,low_appearance_writer,David_Rogers_dummy_director,Jeffrey_Blitz_dummy_director,Charles_McDougall_dummy_director,Tucker_Gates_dummy_director,Jennifer_Celotta_dummy_director,Paul_Feig_dummy_director,Harold_Ramis_dummy_director,Troy_Miller_dummy_director,B.J._Novak_dummy_director,Brent_Forrester_dummy_director,John_Krasinski_dummy_director,Ken_Kwapis_dummy_director,Paul_Lieberstein_dummy_director,Rainn_Wilson_dummy_director,Steve_Carell_dummy_director,Randall_Einhorn_dummy_director,Ken_Whittingham_dummy_director,Matt_Sohn_dummy_director,Greg_Daniels_dummy_director,low_appearance_directors,multi_part
6,['Paul Feig'],"['Greg Daniels', 'Mindy Kaling']",3579,552,83,5580,33,"['Andy', 'Angela', 'Dwight', 'Erin', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley', 'Toby']",33.0,12.0,0.0,84.0,10.0,0.0,0.0,56.0,3.0,30.0,6.0,129.0,9.0,70.0,3.0,3.0,7.0,4.0,0.1235955056179775,0.0449438202247191,0.0,0.3146067415730337,0.0374531835205992,0.0,0.0,0.2097378277153558,0.0112359550561797,0.1123595505617977,0.0224719101123595,0.4831460674157303,0.0337078651685393,0.2621722846441947,0.0112359550561797,0.0112359550561797,0.0262172284644194,0.0149812734082397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,['Charles McDougall'],['Paul Lieberstein'],2463,206,27,2612,16,"['Angela', 'Creed', 'Dwight', 'Jim', 'Kelly', 'Kevin', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley', 'Toby']",0.0,4.0,0.0,49.0,0.0,0.0,0.0,35.0,5.0,4.0,0.0,52.0,3.0,19.0,4.0,7.0,5.0,4.0,0.0,0.0145454545454545,0.0,0.1781818181818182,0.0,0.0,0.0,0.1272727272727272,0.0181818181818181,0.0145454545454545,0.0,0.1890909090909091,0.0109090909090909,0.069090909090909,0.0145454545454545,0.0254545454545454,0.0181818181818181,0.0145454545454545,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,['David Rogers'],['Owen Ellickson'],1453,239,31,2859,21,"['Andy', 'Angela', 'Creed', 'Darryl', 'Dwight', 'Erin', 'Jim', 'Kevin', 'Meredith', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley']",41.0,4.0,14.0,15.0,7.0,0.0,0.0,24.0,0.0,18.0,2.0,0.0,16.0,22.0,1.0,17.0,1.0,0.0,0.1673469387755102,0.0163265306122449,0.0571428571428571,0.0612244897959183,0.0285714285714285,0.0,0.0,0.0979591836734693,0.0,0.073469387755102,0.0081632653061224,0.0,0.0653061224489796,0.0897959183673469,0.0040816326530612,0.0693877551020408,0.0040816326530612,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,['Rainn Wilson'],['Mindy Kaling'],2138,598,79,5993,26,"['Andy', 'Angela', 'Creed', 'Darryl', 'Dwight', 'Erin', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley', 'Toby']",28.0,26.0,23.0,38.0,18.0,50.0,0.0,50.0,14.0,15.0,10.0,130.0,12.0,69.0,13.0,11.0,5.0,25.0,0.1222707423580786,0.1135371179039301,0.1004366812227074,0.1659388646288209,0.0786026200873362,0.2183406113537118,0.0,0.2183406113537118,0.0611353711790393,0.0655021834061135,0.0436681222707423,0.5676855895196506,0.0524017467248908,0.3013100436681222,0.056768558951965,0.0480349344978165,0.0218340611353711,0.1091703056768559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,['Greg Daniels'],['Aaron Shure'],1954,270,48,2702,16,"['Andy', 'Angela', 'Creed', 'Darryl', 'Dwight', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Stanley']",13.0,13.0,9.0,35.0,0.0,10.0,38.0,27.0,2.0,4.0,1.0,79.0,3.0,25.0,7.0,0.0,2.0,0.0,0.05078125,0.05078125,0.03515625,0.13671875,0.0,0.0390625,0.1484375,0.10546875,0.0078125,0.015625,0.00390625,0.30859375,0.01171875,0.09765625,0.02734375,0.0,0.0078125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,['Ken Kwapis'],['Greg Daniels'],2679,223,11,2534,16,"['Angela', 'Darryl', 'Dwight', 'Jim', 'Kelly', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley']",0.0,1.0,3.0,22.0,0.0,0.0,0.0,29.0,4.0,0.0,3.0,75.0,1.0,17.0,4.0,2.0,8.0,0.0,0.0,0.0035587188612099,0.0106761565836298,0.0782918149466192,0.0,0.0,0.0,0.1032028469750889,0.0142348754448398,0.0,0.0106761565836298,0.2669039145907473,0.0035587188612099,0.0604982206405693,0.0142348754448398,0.0071174377224199,0.0284697508896797,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,['Greg Daniels'],['Paul Lieberstein'],2631,254,46,2445,14,"['Dwight', 'Jim', 'Kelly', 'Kevin', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Toby']",0.0,0.0,0.0,22.0,0.0,0.0,46.0,40.0,1.0,1.0,0.0,73.0,4.0,32.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.1032863849765258,0.0,0.0,0.215962441314554,0.1877934272300469,0.0046948356807511,0.0046948356807511,0.0,0.3427230046948357,0.0187793427230046,0.1502347417840375,0.0187793427230046,0.028169014084507,0.0,0.0046948356807511,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,['Jeffrey Blitz'],['B.J. Novak'],2095,220,61,2680,20,"['Andy', 'Angela', 'Creed', 'Dwight', 'Jim', 'Kevin', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Stanley']",14.0,1.0,0.0,17.0,0.0,0.0,0.0,21.0,0.0,20.0,0.0,72.0,2.0,35.0,9.0,0.0,1.0,0.0,0.0498220640569395,0.0035587188612099,0.0,0.0604982206405693,0.0,0.0,0.0,0.0747330960854092,0.0,0.0711743772241993,0.0,0.2562277580071174,0.0071174377224199,0.1245551601423487,0.0320284697508896,0.0,0.0035587188612099,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,['Paul Feig'],"['Lee Eisenberg', 'Gene Stupnitsky']",2501,507,91,5280,24,"['Andy', 'Angela', 'Creed', 'Darryl', 'Dwight', 'Jim', 'Kelly', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley', 'Toby']",29.0,26.0,10.0,49.0,0.0,55.0,5.0,63.0,12.0,14.0,4.0,115.0,18.0,36.0,16.0,20.0,8.0,1.0,0.0571992110453648,0.0512820512820512,0.019723865877712,0.0966469428007889,0.0,0.1084812623274161,0.009861932938856,0.1242603550295858,0.0236686390532544,0.0276134122287968,0.0078895463510848,0.2268244575936883,0.0355029585798816,0.0710059171597633,0.0315581854043392,0.039447731755424,0.0157790927021696,0.0019723865877712,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,['Paul Feig'],['Michael Schur'],2742,281,33,2604,14,"['Angela', 'Dwight', 'Jim', 'Kevin', 'Meredith', 'Michael', 'Oscar', 'Pam', 'Phyllis', 'Ryan', 'Stanley']",0.0,6.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,9.0,1.0,83.0,10.0,33.0,2.0,5.0,3.0,0.0,0.0,0.0303030303030303,0.0,0.2777777777777778,0.0,0.0,0.0,0.2777777777777778,0.0,0.0454545454545454,0.005050505050505,0.4191919191919191,0.0505050505050505,0.1666666666666666,0.0101010101010101,0.0252525252525252,0.0151515151515151,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
